"shapeid","x","y","id","name"
"509","-103.3843721","20.6980136","1377171307","NULL"
"510","-103.3844004","20.6977901","1377171313","NULL"
"511","-103.3788999","20.6977206","1377171327","NULL"
"512","-103.3788912","20.6979805","1377171330","NULL"
"513","-103.3877689","20.714482","1377247436","NULL"
"514","-103.391886","20.7101699","1377247548","NULL"
"515","-103.3884751","20.7212803","1377285275","NULL"
"516","-103.3884865","20.7211886","1377285279","NULL"
"517","-103.3902935","20.7215087","1377285288","NULL"
"518","-103.3793354","20.7099822","1377326643","NULL"
"519","-103.3561091","20.7070406","1377754009","NULL"
"520","-103.3749464","20.7122753","1377754027","NULL"
"521","-103.3604459","20.7103759","1377754044","NULL"
"522","-103.3605555","20.7104109","1377754114","NULL"
"523","-103.359908","20.7117544","1377754133","NULL"
"524","-103.3560812","20.7072437","1377754143","NULL"
"525","-103.3517673","20.706709","1378153002","NULL"
"526","-103.3352241","20.702998","1378215101","NULL"
"527","-103.3461395","20.7141244","1379015361","NULL"
"528","-103.3538811","20.7069655","1379015407","NULL"
"529","-103.3530468","20.7068716","1379015505","NULL"
"530","-103.3488381","20.7066814","1379015522","NULL"
"531","-103.3534768","20.7138235","1379015561","NULL"
"532","-103.3539529","20.7137984","1379015591","NULL"
"533","-103.3420514","20.7352511","1379393962","NULL"
"534","-103.3543579","20.7154719","1379393967","NULL"
"535","-103.3564022","20.7175484","1379394004","NULL"
"536","-103.3537012","20.7198427","1379394138","NULL"
